,EUR
2011-06-22,1553.92
2011-06-23,1539.67
2011-06-24,1536.77
2011-06-27,1527.17
2011-06-28,1555.39
2011-06-29,1553.03
2011-06-30,1560.5
2011-07-01,1550.31
2011-07-04,1551.35
2011-07-05,1547.51
2011-07-06,1537.71
2011-07-07,1526.11
2011-07-08,1528.44
2011-07-11,1503.72
2011-07-12,1487.34
2011-07-13,1489.32
2011-07-14,1512.35
2011-07-15,1496.66
2011-07-18,1493.33
2011-07-19,1498.79
2011-07-20,1500.96
2011-07-21,1505.65
2011-07-22,1520.69
2011-07-25,1512.41
2011-07-26,1515.69
2011-07-27,1527.13
2011-07-28,1509.5
2011-07-29,1507.85
2011-08-01,1513.62
2011-08-02,1496.48
2011-08-03,1489.9
2011-08-04,1519.51
2011-08-05,1488.78
2011-08-08,1531.92
2011-08-09,1522.28
2011-08-10,1569.44
2011-08-11,1527.58
2011-08-12,1544.46
2011-08-16,1557.53
2011-08-17,1540.05
2011-08-18,1548.34
2011-08-19,1534.68
2011-08-22,1556.51
2011-08-23,1555.76
2011-08-24,1560.05
2011-08-25,1554.89
2011-08-26,1559.79
2011-08-29,1571.01
2011-08-30,1562.3
2011-08-31,1547.27
2011-09-01,1538.33
2011-09-02,1516.53
2011-09-05,1503.83
2011-09-06,1503.15
2011-09-07,1500.95
2011-09-08,1509.28
2011-09-09,1492.16
2011-09-14,1472.34
2011-09-15,1513.22
2011-09-16,1537.32
2011-09-19,1516.84
2011-09-20,1526.89
2011-09-21,1574.19
2011-09-22,1558.18
2011-09-23,1587.33
2011-09-26,1604.24
2011-09-28,1602.09
2011-09-29,1587.78
2011-09-30,1601.35
2011-10-04,1554.33
2011-10-05,1598.51
2011-10-06,1591.32
2011-10-07,1593.13
2011-10-10,1578.77
2011-10-11,1599.68
2011-10-12,1588.67
2011-10-13,1616.62
2011-10-14,1591.15
2011-10-17,1610.84
2011-10-18,1574.76
2011-10-19,1575.48
2011-10-20,1566.04
2011-10-21,1570.46
2011-10-24,1591.66
2011-10-25,1584.13
2011-10-26,1568.74
2011-10-27,1567.7
2011-10-28,1594.26
2011-10-31,1562.65
2011-11-01,1529.6
2011-11-02,1521.2
2011-11-03,1545.43
2011-11-04,1563.51
2011-11-07,1536.11
2011-11-08,1534.85
2011-11-09,1543.45
2011-11-10,1509.54
2011-11-11,1543.67
2011-11-14,1553.87
2011-11-15,1526.2
2011-11-16,1523.47
2011-11-17,1526.07
2011-11-18,1532.46
2011-11-21,1535.73
2011-11-22,1536.64
2011-11-23,1549.46
2011-11-24,1533.26
2011-11-25,1544.09
2011-11-28,1545.33
2011-11-29,1538.04
2011-11-30,1532.89
2011-12-01,1532.91
2011-12-02,1517.27
2011-12-05,1513.09
2011-12-06,1513.64
2011-12-07,1516.54
2011-12-08,1511.55
2011-12-09,1509.69
2011-12-12,1526.91
2011-12-13,1508.48
2011-12-14,1506.47
2011-12-15,1504.49
2011-12-16,1512.43
2011-12-19,1508.13
2011-12-20,1520.17
2011-12-21,1526.92
2011-12-22,1501.23
2011-12-23,1509.25
2011-12-26,1499.05
2011-12-27,1501.38
2011-12-28,1510.78
2011-12-29,1497.44
2011-12-30,1494.1
2012-01-02,1493.18
2012-01-03,1494.87
2012-01-04,1502.21
2012-01-05,1484.28
2012-01-06,1470.72
2012-01-09,1469.66
2012-01-10,1486.75
2012-01-11,1476.53
2012-01-12,1473.42
2012-01-13,1484.77
2012-01-16,1454.3
2012-01-17,1461.02
2012-01-18,1461.34
2012-01-19,1469.86
2012-01-20,1473.85
2012-01-25,1478.91
2012-01-26,1476.19
2012-01-27,1470.03
2012-01-30,1484.48
2012-01-31,1478.19
2012-02-01,1473.22
2012-02-02,1483.19
2012-02-03,1470.21
2012-02-06,1469.23
2012-02-07,1469.76
2012-02-08,1487.0
2012-02-09,1476.89
2012-02-10,1485.45
2012-02-13,1486.71
2012-02-14,1478.81
2012-02-15,1475.23
2012-02-16,1466.26
2012-02-17,1480.91
2012-02-20,1485.95
2012-02-21,1485.67
2012-02-22,1487.73
2012-02-23,1492.12
2012-02-24,1508.82
2012-02-27,1514.13
2012-02-28,1512.11
2012-02-29,1516.33
2012-03-02,1491.75
2012-03-05,1470.36
2012-03-06,1477.91
2012-03-07,1469.22
2012-03-08,1481.38
2012-03-09,1486.53
2012-03-12,1463.99
2012-03-13,1476.29
2012-03-14,1466.75
2012-03-15,1464.26
2012-03-16,1476.86
2012-03-19,1482.02
2012-03-20,1486.12
2012-03-21,1486.54
2012-03-22,1489.46
2012-03-23,1491.71
2012-03-26,1505.74
2012-03-27,1520.05
2012-03-28,1514.73
2012-03-29,1514.64
2012-03-30,1513.44
2012-04-02,1515.92
2012-04-03,1503.7
2012-04-04,1485.81
2012-04-05,1482.27
2012-04-06,1475.24
2012-04-09,1477.99
2012-04-10,1492.02
2012-04-12,1492.98
2012-04-13,1505.78
2012-04-16,1482.55
2012-04-17,1494.14
2012-04-18,1495.03
2012-04-19,1491.22
2012-04-20,1498.96
2012-04-23,1505.01
2012-04-24,1498.11
2012-04-25,1505.98
2012-04-26,1506.86
2012-04-27,1499.79
2012-04-30,1501.68
2012-05-02,1497.79
2012-05-03,1482.44
2012-05-04,1486.18
2012-05-07,1469.59
2012-05-08,1486.78
2012-05-09,1475.56
2012-05-10,1474.93
2012-05-11,1477.48
2012-05-14,1476.85
2012-05-15,1473.72
2012-05-16,1469.86
2012-05-17,1478.05
2012-05-18,1476.62
2012-05-21,1495.59
2012-05-22,1494.6
2012-05-23,1475.19
2012-05-24,1475.76
2012-05-25,1475.68
2012-05-29,1479.93
2012-05-30,1470.89
2012-05-31,1456.64
2012-06-01,1460.93
2012-06-04,1465.7
2012-06-05,1477.72
2012-06-07,1477.72
2012-06-08,1471.57
2012-06-11,1483.26
2012-06-12,1455.6
2012-06-13,1464.47
2012-06-14,1467.28
2012-06-15,1473.55
2012-06-18,1480.72
2012-06-19,1458.31
2012-06-20,1469.0
2012-06-21,1462.55
2012-06-22,1443.2
2012-06-25,1451.3
2012-06-26,1451.64
2012-06-27,1448.95
2012-06-28,1443.37
2012-06-29,1435.04
2012-07-02,1458.08
2012-07-03,1438.6
2012-07-04,1438.99
2012-07-05,1421.91
2012-07-06,1407.95
2012-07-09,1397.84
2012-07-10,1407.49
2012-07-11,1400.35
2012-07-12,1400.95
2012-07-13,1398.68
2012-07-16,1410.58
2012-07-17,1408.11
2012-07-18,1405.08
2012-07-19,1399.94
2012-07-20,1397.8
2012-07-23,1382.93
2012-07-24,1389.64
2012-07-25,1385.58
2012-07-26,1397.94
2012-07-27,1408.76
2012-07-30,1402.87
2012-07-31,1393.09
2012-08-01,1393.33
2012-08-02,1379.84
2012-08-03,1376.43
2012-08-06,1406.89
2012-08-07,1395.9
2012-08-08,1396.67
2012-08-09,1395.67
2012-08-10,1385.28
2012-08-13,1385.81
2012-08-14,1395.05
2012-08-16,1387.23
2012-08-17,1400.28
2012-08-20,1398.21
2012-08-21,1402.8
2012-08-22,1411.6
2012-08-23,1421.64
2012-08-24,1420.28
2012-08-27,1419.39
2012-08-28,1419.95
2012-08-29,1428.78
2012-08-30,1421.24
2012-08-31,1419.55
2012-09-03,1426.34
2012-09-04,1424.14
2012-09-05,1421.54
2012-09-06,1429.7
2012-09-07,1432.89
2012-09-10,1446.76
2012-09-11,1440.26
2012-09-12,1451.72
2012-09-13,1452.63
2012-09-14,1465.52
2012-09-17,1468.9
2012-09-18,1462.1
2012-09-19,1457.7
2012-09-20,1457.76
2012-09-21,1450.75
2012-09-24,1452.37
2012-09-25,1448.24
2012-09-26,1442.77
2012-09-27,1443.01
2012-09-28,1444.28
2012-10-02,1434.86
2012-10-04,1437.83
2012-10-05,1449.41
2012-10-08,1445.5
2012-10-09,1441.13
2012-10-10,1429.73
2012-10-11,1432.71
2012-10-12,1442.16
2012-10-15,1438.6
2012-10-16,1440.56
2012-10-17,1449.53
2012-10-18,1448.66
2012-10-19,1444.53
2012-10-22,1439.43
2012-10-23,1443.98
2012-10-24,1430.68
2012-10-25,1430.95
2012-10-26,1424.83
2012-10-29,1417.61
2012-10-30,1413.98
2012-10-31,1418.34
2012-11-01,1413.47
2012-11-02,1412.33
2012-11-05,1399.63
2012-11-06,1396.88
2012-11-07,1398.32
2012-11-08,1388.12
2012-11-09,1386.69
2012-11-12,1386.03
2012-11-13,1382.98
2012-11-14,1385.06
2012-11-15,1384.84
2012-11-16,1389.02
2012-11-19,1387.93
2012-11-20,1389.55
2012-11-21,1387.59
2012-11-22,1391.1
2012-11-23,1396.43
2012-11-26,1409.31
2012-11-27,1409.07
2012-11-28,1402.72
2012-11-29,1405.48
2012-11-30,1407.34
2012-12-03,1407.89
2012-12-04,1414.78
2012-12-05,1418.83
2012-12-06,1414.99
2012-12-07,1403.61
2012-12-10,1397.04
2012-12-11,1396.58
2012-12-12,1401.24
2012-12-13,1405.51
2012-12-14,1402.14
2012-12-17,1415.45
2012-12-18,1412.15
2012-12-20,1415.1
2012-12-21,1421.72
2012-12-24,1417.16
2012-12-26,1416.69
2012-12-27,1419.72
2012-12-28,1419.56
2012-12-31,1416.26
2013-01-02,1412.94
2013-01-03,1403.75
2013-01-04,1387.41
2013-01-07,1391.04
2013-01-08,1395.61
2013-01-09,1390.72
2013-01-10,1386.78
2013-01-11,1407.68
2013-01-14,1411.33
2013-01-15,1412.53
2013-01-16,1403.47
2013-01-17,1407.33
2013-01-18,1415.5
2013-01-21,1406.46
2013-01-22,1411.5
2013-01-23,1417.99
2013-01-24,1417.94
2013-01-25,1429.15
2013-01-29,1455.8
2013-01-30,1467.55
2013-01-31,1469.28
2013-02-01,1479.38
2013-02-04,1491.64
2013-02-05,1470.64
