,BHD
2011-06-08,2866.31
2011-06-09,2868.78
2011-06-10,2873.02
2011-06-13,2867.98
2011-06-14,2880.37
2011-06-15,2874.01
2011-06-16,2871.43
2011-06-17,2888.33
2011-06-20,2883.9
2011-06-21,2873.29
2011-06-22,2869.31
2011-06-23,2851.38
2011-06-24,2855.97
2011-06-27,2859.15
2011-06-28,2882.49
2011-06-29,2869.5
2011-06-30,2859.68
2011-07-01,2838.46
2011-07-04,2828.57
2011-07-05,2821.75
2011-07-06,2826.6
2011-07-07,2824.74
2011-07-08,2823.15
2011-07-11,2807.43
2011-07-12,2810.88
2011-07-13,2828.12
2011-07-14,2820.01
2011-07-15,2802.84
2011-07-18,2804.51
2011-07-19,2814.78
2011-07-20,2810.95
2011-07-21,2799.28
2011-07-22,2799.28
2011-07-25,2788.4
2011-07-26,2796.93
2011-07-27,2793.13
2011-07-28,2785.97
2011-07-29,2792.04
2011-08-01,2793.37
2011-08-02,2783.82
2011-08-03,2788.59
2011-08-04,2808.26
2011-08-05,2807.99
2011-08-08,2836.91
2011-08-09,2847.78
2011-08-10,2897.39
2011-08-11,2866.09
2011-08-12,2880.15
2011-08-16,2861.43
2011-08-17,2838.35
2011-08-18,2845.51
2011-08-19,2844.3
2011-08-22,2872.49
2011-08-23,2873.82
2011-08-24,2867.37
2011-08-25,2861.99
2011-08-26,2878.78
2011-08-29,2876.66
2011-08-30,2854.04
2011-08-31,2842.63
2011-09-01,2839.18
2011-09-02,2819.55
2011-09-05,2818.83
2011-09-06,2833.69
2011-09-07,2842.9
2011-09-08,2842.63
2011-09-09,2845.55
2011-09-14,2853.88
2011-09-15,2918.83
2011-09-16,2939.26
2011-09-19,2936.07
2011-09-20,2976.84
2011-09-21,3051.99
2011-09-22,3042.89
2011-09-23,3123.26
2011-09-26,3145.81
2011-09-28,3129.09
2011-09-29,3110.53
2011-09-30,3128.56
2011-10-04,3124.85
2011-10-05,3181.61
2011-10-06,3162.78
2011-10-07,3147.4
2011-10-10,3129.63
2011-10-11,3111.32
2011-10-12,3087.98
2011-10-13,3109.73
2011-10-14,3071.54
2011-10-17,3077.64
2011-10-18,3038.91
2011-10-19,3042.62
2011-10-20,3017.69
2011-10-21,3022.47
2011-10-24,3048.99
2011-10-25,3017.61
2011-10-26,2991.62
2011-10-27,2998.25
2011-10-28,2982.6
2011-10-31,2929.55
2011-11-01,2931.41
2011-11-02,2954.49
2011-11-03,2987.27
2011-11-04,3000.93
2011-11-07,2951.19
2011-11-08,2957.17
2011-11-09,2960.93
2011-11-10,2959.34
2011-11-11,3008.67
2011-11-14,2990.19
2011-11-15,2972.18
2011-11-16,2987.27
2011-11-17,3009.28
2011-11-18,3017.51
2011-11-21,3014.32
2011-11-22,3022.57
2011-11-23,3041.3
2011-11-24,3048.84
2011-11-25,3069.15
2011-11-28,3076.66
2011-11-29,3063.96
2011-11-30,3051.11
2011-12-01,3025.38
2011-12-02,2989.84
2011-12-05,2991.17
2011-12-06,2998.14
2011-12-07,3000.29
2011-12-08,2988.7
2011-12-09,2999.73
2011-12-12,3029.97
2011-12-13,3037.05
2011-12-14,3064.72
2011-12-15,3072.94
2011-12-16,3080.55
2011-12-19,3067.64
2011-12-20,3102.12
2011-12-21,3095.67
2011-12-22,3052.7
2011-12-23,3066.76
2011-12-26,3048.81
2011-12-27,3050.4
2011-12-28,3067.21
2011-12-29,3069.86
2011-12-30,3058.99
2012-01-02,3058.99
2012-01-03,3064.91
2012-01-04,3052.7
2012-01-05,3043.42
2012-01-06,3051.11
2012-01-09,3072.68
2012-01-10,3088.17
2012-01-11,3066.6
2012-01-12,3075.17
2012-01-13,3073.58
2012-01-16,3051.75
2012-01-17,3060.93
2012-01-18,3042.28
2012-01-19,3032.02
2012-01-20,3014.32
2012-01-25,3009.65
2012-01-26,2987.45
2012-01-27,2974.91
2012-01-30,2980.66
2012-01-31,2983.93
2012-02-01,2986.13
2012-02-02,2987.64
2012-02-03,2966.69
2012-02-06,2968.3
2012-02-07,2970.56
2012-02-08,2974.88
2012-02-09,2962.15
2012-02-10,2965.7
2012-02-13,2974.01
2012-02-14,2979.15
2012-02-15,2980.37
2012-02-16,2979.05
2012-02-17,2991.35
2012-02-20,2982.41
2012-02-21,2977.98
2012-02-22,2982.23
2012-02-23,2987.37
2012-02-24,2992.84
2012-02-27,2983.29
2012-02-28,2993.1
2012-02-29,2988.06
2012-03-02,2971.09
2012-03-05,2956.23
2012-03-06,2966.58
2012-03-07,2971.62
2012-03-08,2987.8
2012-03-09,2970.29
2012-03-12,2960.48
2012-03-13,2976.31
2012-03-14,2974.8
2012-03-15,2980.82
2012-03-16,2994.96
2012-03-19,2982.26
2012-03-20,2978.7
2012-03-21,2978.97
2012-03-22,2990.37
2012-03-23,2997.98
2012-03-26,3007.43
2012-03-27,3018.75
2012-03-28,3015.3
2012-03-29,3016.37
2012-03-30,3017.96
2012-04-02,3008.41
2012-04-03,2992.23
2012-04-04,2979.76
2012-04-05,2991.43
2012-04-06,2995.94
2012-04-09,2999.12
2012-04-10,3017.43
2012-04-12,3018.22
2012-04-13,3029.89
2012-04-16,3008.14
2012-04-17,3017.69
2012-04-18,3020.79
2012-04-19,3014.77
2012-04-20,3025.12
2012-04-23,3024.32
2012-04-24,3020.95
2012-04-25,3027.06
2012-04-26,3022.28
2012-04-27,3018.04
2012-04-30,3008.41
2012-05-02,3001.51
2012-05-03,2989.05
2012-05-04,2997.27
2012-05-07,3001.25
2012-05-08,3020.87
2012-05-09,3012.55
2012-05-10,3023.95
2012-05-11,3030.42
2012-05-14,3037.59
2012-05-15,3046.87
2012-05-16,3061.19
2012-05-17,3081.88
2012-05-18,3085.33
2012-05-21,3111.75
2012-05-22,3094.61
2012-05-23,3087.35
2012-05-24,3108.04
2012-05-25,3122.46
2012-05-29,3131.12
2012-05-30,3126.18
2012-05-31,3124.06
2012-06-01,3134.13
2012-06-04,3130.69
2012-06-05,3134.83
2012-06-07,3134.83
2012-06-08,3105.22
2012-06-11,3111.32
2012-06-12,3095.41
2012-06-13,3104.69
2012-06-14,3097.53
2012-06-15,3094.88
2012-06-18,3087.45
2012-06-19,3072.6
2012-06-20,3072.07
2012-06-21,3057.48
2012-06-22,3050.58
2012-06-25,3069.41
