,AUD
2011-08-04,1139.32
2011-08-05,1104.28
2011-08-08,1113.89
2011-08-09,1089.33
2011-08-10,1131.68
2011-08-11,1096.34
2011-08-12,1122.13
2011-08-16,1131.07
2011-08-17,1120.72
2011-08-18,1131.91
2011-08-19,1111.55
2011-08-22,1124.48
2011-08-23,1125.82
2011-08-24,1136.29
2011-08-25,1129.01
2011-08-26,1133.7
2011-08-29,1146.97
2011-08-30,1148.95
2011-08-31,1144.31
2011-09-01,1144.04
2011-09-02,1140.07
2011-09-05,1127.31
2011-09-06,1123.74
2011-09-07,1125.6
2011-09-08,1140.99
2011-09-09,1137.92
2011-09-14,1110.27
2011-09-15,1130.83
2011-09-16,1144.28
2011-09-19,1140.94
2011-09-20,1140.2
2011-09-21,1177.58
2011-09-22,1153.74
2011-09-23,1151.07
2011-09-26,1165.6
2011-09-28,1168.32
2011-09-29,1142.97
2011-09-30,1150.43
2011-10-04,1121.55
2011-10-05,1146.66
2011-10-06,1150.25
2011-10-07,1155.45
2011-10-10,1150.93
2011-10-11,1170.95
2011-10-12,1159.37
2011-10-13,1190.98
2011-10-14,1175.89
2011-10-17,1199.0
2011-10-18,1165.52
2011-10-19,1176.06
2011-10-20,1164.61
2011-10-21,1166.56
2011-10-24,1187.15
2011-10-25,1190.49
2011-10-26,1176.63
2011-10-27,1174.88
2011-10-28,1203.44
2011-10-31,1178.78
2011-11-01,1164.44
2011-11-02,1146.37
2011-11-03,1160.49
2011-11-04,1176.25
2011-11-07,1158.66
2011-11-08,1156.92
2011-11-09,1158.22
2011-11-10,1130.15
2011-11-11,1151.2
2011-11-14,1164.44
2011-11-15,1142.28
2011-11-16,1145.35
2011-11-17,1142.73
2011-11-18,1137.94
2011-11-21,1133.33
2011-11-22,1120.45
2011-11-23,1127.91
2011-11-24,1113.0
2011-11-25,1124.99
2011-11-28,1140.76
2011-11-29,1144.91
2011-11-30,1154.04
2011-12-01,1171.0
2011-12-02,1152.62
2011-12-05,1156.63
2011-12-06,1159.74
2011-12-07,1158.97
2011-12-08,1159.2
2011-12-09,1150.13
2011-12-12,1165.77
2011-12-13,1152.27
2011-12-14,1156.79
2011-12-15,1147.32
2011-12-16,1153.91
2011-12-19,1153.44
2011-12-20,1157.92
2011-12-21,1175.09
2011-12-22,1161.14
2011-12-23,1171.06
2011-12-26,1167.33
2011-12-27,1169.09
2011-12-28,1173.46
2011-12-29,1167.3
2011-12-30,1169.27
2012-01-02,1179.48
2012-01-03,1184.04
2012-01-04,1193.31
2012-01-05,1187.79
2012-01-06,1178.77
2012-01-09,1181.68
2012-01-10,1192.77
2012-01-11,1191.46
2012-01-12,1194.7
2012-01-13,1197.33
2012-01-16,1183.28
2012-01-17,1190.24
2012-01-18,1190.01
2012-01-19,1191.05
2012-01-20,1184.02
2012-01-25,1189.79
2012-01-26,1193.26
2012-01-27,1192.04
2012-01-30,1196.17
2012-01-31,1191.49
2012-02-01,1196.33
2012-02-02,1206.26
2012-02-03,1197.35
2012-02-06,1203.88
2012-02-07,1200.36
2012-02-08,1211.84
2012-02-09,1203.19
2012-02-10,1205.09
2012-02-13,1202.26
2012-02-14,1203.79
2012-02-15,1201.47
2012-02-16,1200.65
2012-02-17,1212.55
2012-02-20,1213.12
2012-02-21,1205.05
2012-02-22,1197.83
2012-02-23,1197.26
2012-02-24,1210.84
2012-02-27,1203.94
2012-02-28,1213.65
2012-02-29,1213.63
2012-03-02,1210.72
2012-03-05,1195.52
2012-03-06,1193.33
2012-03-07,1182.36
2012-03-08,1192.07
2012-03-09,1192.08
2012-03-12,1179.77
2012-03-13,1181.07
2012-03-14,1182.9
2012-03-15,1173.42
2012-03-16,1187.81
2012-03-19,1192.26
2012-03-20,1191.0
2012-03-21,1177.35
2012-03-22,1178.25
2012-03-23,1174.66
2012-03-26,1188.39
2012-03-27,1197.79
2012-03-28,1187.79
2012-03-29,1181.78
2012-03-30,1180.52
2012-04-02,1183.88
2012-04-03,1175.82
2012-04-04,1159.07
2012-04-05,1159.04
2012-04-06,1163.1
2012-04-09,1163.32
2012-04-10,1172.3
2012-04-12,1173.46
2012-04-13,1191.99
2012-04-16,1174.81
2012-04-17,1178.66
2012-04-18,1184.85
2012-04-19,1176.89
2012-04-20,1179.56
2012-04-23,1182.1
2012-04-24,1175.69
2012-04-25,1178.57
