,CNH
2019-02-14,165.73
2019-02-15,166.06
2019-02-18,166.18
2019-02-19,166.17
2019-02-20,166.32
2019-02-21,166.84
2019-02-22,167.65
2019-02-25,167.3
2019-02-26,167.69
2019-02-27,167.11
2019-02-28,167.14
2019-03-04,167.49
2019-03-05,168.0
2019-03-06,167.89
2019-03-07,167.93
2019-03-08,167.91
2019-03-11,168.35
2019-03-12,168.47
2019-03-13,167.89
2019-03-14,168.58
2019-03-15,168.62
2019-03-18,169.05
2019-03-19,168.82
2019-03-20,168.3
2019-03-21,168.24
2019-03-22,168.48
2019-03-25,168.5
2019-03-26,168.89
2019-03-27,168.59
2019-03-28,168.78
2019-03-29,168.74
2019-04-01,168.69
2019-04-02,168.74
2019-04-03,168.97
2019-04-04,168.96
2019-04-05,169.0
2019-04-08,169.27
2019-04-09,169.76
2019-04-10,170.06
2019-04-11,169.89
2019-04-12,169.61
2019-04-15,169.48
2019-04-16,168.96
2019-04-17,169.26
2019-04-18,169.49
2019-04-19,169.84
2019-04-22,169.62
2019-04-23,170.04
2019-04-24,169.84
2019-04-25,170.65
2019-04-26,171.88
2019-04-29,172.2
2019-04-30,171.93
2019-05-02,172.49
2019-05-03,172.75
2019-05-07,173.48
2019-05-08,172.15
2019-05-09,172.32
2019-05-10,172.19
2019-05-13,172.36
2019-05-14,171.84
2019-05-15,172.14
2019-05-16,172.23
2019-05-17,172.07
2019-05-20,171.99
2019-05-21,172.04
2019-05-22,172.22
2019-05-23,172.33
2019-05-24,171.7
2019-05-27,171.74
2019-05-28,171.37
2019-05-29,171.76
2019-05-30,172.29
2019-05-31,171.77
2019-06-03,171.75
2019-06-04,170.6
2019-06-05,170.77
2019-06-07,170.35
2019-06-10,170.09
2019-06-11,170.22
2019-06-12,170.47
2019-06-13,170.61
2019-06-14,171.09
2019-06-17,170.74
2019-06-18,171.15
2019-06-19,170.88
2019-06-20,170.4
2019-06-21,169.62
2019-06-24,169.47
2019-06-25,168.36
2019-06-26,167.85
2019-06-27,168.21
2019-06-28,168.08
2019-07-01,168.31
2019-07-02,169.05
2019-07-03,169.86
2019-07-04,169.99
2019-07-05,170.17
2019-07-08,170.1
2019-07-09,171.04
2019-07-10,171.32
2019-07-11,171.5
2019-07-12,170.67
2019-07-15,171.17
2019-07-16,171.4
2019-07-17,171.39
2019-07-18,171.43
2019-07-19,171.27
2019-07-22,170.64
2019-07-23,171.08
2019-07-24,171.19
2019-07-25,171.11
2019-07-26,171.56
2019-07-29,172.17
2019-07-30,171.79
2019-07-31,171.57
2019-08-01,171.49
2019-08-02,171.93
2019-08-05,171.75
2019-08-06,171.52
2019-08-07,171.42
2019-08-08,171.59
2019-08-09,171.28
2019-08-12,170.94
2019-08-13,171.37
2019-08-14,171.71
2019-08-16,172.31
2019-08-19,172.14
2019-08-20,171.72
2019-08-21,171.13
2019-08-22,170.24
2019-08-23,170.23
2019-08-26,170.86
2019-08-27,169.98
2019-08-28,169.2
2019-08-29,169.36
2019-08-30,169.48
2019-09-02,168.99
2019-09-03,169.0
2019-09-04,169.12
2019-09-05,168.72
2019-09-06,168.01
2019-09-09,167.49
2019-09-10,167.44
2019-09-11,167.58
2019-09-16,167.56
2019-09-17,167.56
2019-09-18,167.92
2019-09-19,168.08
2019-09-20,168.43
2019-09-23,168.2
2019-09-24,167.89
2019-09-25,167.93
2019-09-26,168.46
2019-09-27,168.35
2019-09-30,168.52
2019-10-01,168.33
2019-10-02,167.75
2019-10-04,168.39
2019-10-07,167.99
2019-10-08,167.76
2019-10-10,167.64
2019-10-11,167.87
2019-10-14,167.47
2019-10-15,167.52
2019-10-16,167.38
2019-10-17,167.22
2019-10-18,167.05
2019-10-21,166.78
2019-10-22,166.15
2019-10-23,165.57
2019-10-24,165.79
2019-10-25,165.7
2019-10-28,166.03
2019-10-29,165.66
2019-10-30,165.29
2019-10-31,165.45
2019-11-01,164.93
2019-11-04,165.61
2019-11-05,165.08
2019-11-06,165.23
2019-11-07,165.5
2019-11-08,165.41
2019-11-11,165.63
2019-11-12,165.93
2019-11-13,166.18
2019-11-14,166.32
2019-11-15,166.67
2019-11-18,166.36
2019-11-19,165.97
2019-11-20,166.25
2019-11-21,166.37
2019-11-22,167.05
2019-11-25,167.47
2019-11-26,167.22
2019-11-27,167.25
2019-11-28,167.46
2019-11-29,167.87
2019-12-02,167.84
2019-12-03,167.95
2019-12-04,168.56
2019-12-05,168.83
2019-12-06,168.82
2019-12-09,168.88
2019-12-10,169.11
2019-12-11,169.45
2019-12-12,169.64
2019-12-13,169.12
2019-12-16,168.14
2019-12-17,167.54
2019-12-18,166.78
2019-12-19,166.4
2019-12-20,166.42
2019-12-23,166.14
2019-12-24,165.8
2019-12-26,166.01
2019-12-27,166.09
2019-12-30,165.87
2019-12-31,165.74
2020-01-02,165.74
2020-01-03,166.12
2020-01-06,166.65
2020-01-07,167.76
2020-01-08,167.53
2020-01-09,168.73
2020-01-10,167.5
2020-01-13,167.61
2020-01-14,167.37
2020-01-15,167.71
2020-01-16,168.0
