,IDR(100)
2011-07-28,12.37
2011-07-29,12.38
2011-08-01,12.39
2011-08-02,12.41
2011-08-03,12.42
2011-08-04,12.48
2011-08-05,12.45
2011-08-08,12.56
2011-08-09,12.62
2011-08-10,12.78
2011-08-11,12.67
2011-08-12,12.72
2011-08-16,12.64
2011-08-17,12.54
2011-08-18,12.58
2011-08-19,12.56
2011-08-22,12.67
2011-08-23,12.68
2011-08-24,12.66
2011-08-25,12.62
2011-08-26,12.65
2011-08-29,12.71
2011-08-30,12.61
2011-08-31,12.56
2011-09-01,12.54
2011-09-02,12.46
2011-09-05,12.45
2011-09-06,12.51
2011-09-07,12.53
2011-09-08,12.53
2011-09-09,12.52
2011-09-14,12.46
2011-09-15,12.62
2011-09-16,12.64
2011-09-19,12.63
2011-09-20,12.68
2011-09-21,13.02
2011-09-22,12.93
2011-09-23,13.44
2011-09-26,13.51
2011-09-28,13.25
2011-09-29,13.19
2011-09-30,13.32
2011-10-04,13.24
2011-10-05,13.47
2011-10-06,13.38
2011-10-07,13.33
2011-10-10,13.26
2011-10-11,13.19
2011-10-12,13.06
2011-10-13,13.13
2011-10-14,13.06
2011-10-17,13.12
2011-10-18,12.99
2011-10-19,13.01
2011-10-20,12.93
2011-10-21,12.91
2011-10-24,12.97
2011-10-25,12.87
2011-10-26,12.74
2011-10-27,12.74
2011-10-28,12.68
2011-10-31,12.57
2011-11-01,12.48
2011-11-02,12.52
2011-11-03,12.61
2011-11-04,12.61
2011-11-07,12.43
2011-11-08,12.45
2011-11-09,12.51
2011-11-10,12.55
2011-11-11,12.65
2011-11-14,12.57
2011-11-15,12.5
2011-11-16,12.52
2011-11-17,12.61
2011-11-18,12.64
2011-11-21,12.6
2011-11-22,12.63
2011-11-23,12.68
2011-11-24,12.71
2011-11-25,12.87
2011-11-28,12.81
2011-11-29,12.67
2011-11-30,12.56
2011-12-01,12.52
2011-12-02,12.53
2011-12-05,12.51
2011-12-06,12.51
2011-12-07,12.52
2011-12-08,12.47
2011-12-09,12.57
2011-12-12,12.62
2011-12-13,12.65
2011-12-14,12.74
2011-12-15,12.75
2011-12-16,12.78
2011-12-19,12.8
2011-12-20,12.9
2011-12-21,12.85
2011-12-22,12.69
2011-12-23,12.75
2011-12-26,12.69
2011-12-27,12.7
2011-12-28,12.74
2011-12-29,12.76
2011-12-30,12.71
2012-01-02,12.72
2012-01-03,12.73
2012-01-04,12.6
2012-01-05,12.55
2012-01-06,12.61
2012-01-09,12.74
2012-01-10,12.72
2012-01-11,12.63
2012-01-12,12.66
2012-01-13,12.65
2012-01-16,12.67
2012-01-17,12.64
2012-01-18,12.63
2012-01-19,12.66
2012-01-20,12.67
2012-01-25,12.6
2012-01-26,12.67
2012-01-27,12.51
2012-01-30,12.52
2012-01-31,12.51
2012-02-01,12.52
2012-02-02,12.54
2012-02-03,12.51
2012-02-06,12.47
2012-02-07,12.46
2012-02-08,12.54
2012-02-09,12.58
2012-02-10,12.5
2012-02-13,12.48
2012-02-14,12.48
2012-02-15,12.48
2012-02-16,12.54
2012-02-17,12.52
2012-02-20,12.49
2012-02-21,12.47
2012-02-22,12.44
2012-02-23,12.45
2012-02-24,12.47
2012-02-27,12.43
2012-02-28,12.37
2012-02-29,12.48
2012-03-02,12.34
2012-03-05,12.27
2012-03-06,12.26
2012-03-07,12.26
2012-03-08,12.36
2012-03-09,12.26
2012-03-12,12.22
2012-03-13,12.25
2012-03-14,12.24
2012-03-15,12.26
2012-03-16,12.32
2012-03-19,12.32
2012-03-20,12.31
2012-03-21,12.27
2012-03-22,12.33
2012-03-23,12.34
2012-03-26,12.38
2012-03-27,12.4
2012-03-28,12.41
2012-03-29,12.43
2012-03-30,12.41
2012-04-02,12.4
2012-04-03,12.34
2012-04-04,12.3
2012-04-05,12.34
2012-04-06,12.4
2012-04-09,12.41
2012-04-10,12.43
2012-04-12,12.43
2012-04-13,12.47
2012-04-16,12.41
2012-04-17,12.4
2012-04-18,12.41
2012-04-19,12.38
2012-04-20,12.43
2012-04-23,12.42
2012-04-24,12.4
2012-04-25,12.41
2012-04-26,12.39
2012-04-27,12.39
2012-04-30,12.34
2012-05-02,12.31
2012-05-03,12.25
2012-05-04,12.3
2012-05-07,12.31
2012-05-08,12.39
2012-05-09,12.35
2012-05-10,12.35
2012-05-11,12.45
2012-05-14,12.46
2012-05-15,12.44
2012-05-16,12.49
2012-05-17,12.57
2012-05-18,12.59
2012-05-21,12.69
2012-05-22,12.61
2012-05-23,12.61
2012-05-24,12.65
2012-05-25,12.71
2012-05-29,12.65
2012-05-30,12.54
2012-05-31,12.48
2012-06-01,12.57
2012-06-04,12.57
2012-06-05,12.57
2012-06-07,12.57
2012-06-08,12.49
2012-06-11,12.5
2012-06-12,12.41
2012-06-13,12.45
2012-06-14,12.4
2012-06-15,12.39
2012-06-18,12.4
2012-06-19,12.34
2012-06-20,12.31
2012-06-21,12.24
2012-06-22,12.2
2012-06-25,12.26
2012-06-26,12.3
2012-06-27,12.29
2012-06-28,12.25
2012-06-29,12.22
2012-07-02,12.19
2012-07-03,12.19
2012-07-04,12.22
2012-07-05,12.13
2012-07-06,12.1
2012-07-09,12.06
2012-07-10,12.14
2012-07-11,12.12
2012-07-12,12.15
2012-07-13,12.13
2012-07-16,12.19
2012-07-17,12.14
