,KWD
2011-09-22,4155.62
2011-09-23,4249.37
2011-09-26,4282.67
2011-09-28,4261.77
2011-09-29,4239.24
2011-09-30,4268.14
2011-10-04,4263.07
2011-10-05,4314.75
2011-10-06,4298.8
2011-10-07,4283.75
2011-10-10,4258.49
2011-10-11,4238.48
2011-10-12,4215.82
2011-10-13,4252.29
2011-10-14,4198.09
2011-10-17,4207.8
2011-10-18,4154.85
2011-10-19,4158.12
2011-10-20,4124.79
2011-10-21,4132.37
2011-10-24,4177.11
2011-10-25,4137.09
2011-10-26,4103.39
2011-10-27,4110.69
2011-10-28,4106.26
2011-10-31,4036.92
2011-11-01,4017.89
2011-11-02,4040.7
2011-11-03,4084.13
2011-11-04,4106.33
2011-11-07,4034.81
2011-11-08,4047.19
2011-11-09,4053.82
2011-11-10,4039.9
2011-11-11,4110.08
2011-11-14,4100.02
2011-11-15,4064.27
2011-11-16,4093.34
2011-11-17,4102.33
2011-11-18,4118.01
2011-11-21,4106.98
2011-11-22,4120.77
2011-11-23,4149.09
2011-11-24,4160.0
2011-11-25,4178.92
2011-11-28,4185.1
2011-11-29,4167.06
2011-11-30,4150.46
2011-12-01,4119.47
2011-12-02,4071.81
2011-12-05,4071.12
2011-12-06,4081.54
2011-12-07,4086.71
2011-12-08,4072.28
2011-12-09,4080.46
2011-12-12,4123.68
2011-12-13,4126.13
2011-12-14,4162.85
2011-12-15,4174.02
2011-12-16,4170.05
2011-12-19,4154.09
2011-12-20,4202.3
2011-12-21,4192.47
2011-12-22,4134.28
2011-12-23,4154.36
2011-12-26,4129.04
2011-12-27,4131.79
2011-12-28,4155.53
2011-12-29,4153.15
2011-12-30,4139.18
2012-01-02,4139.48
2012-01-03,4147.52
2012-01-04,4138.14
2012-01-05,4123.04
2012-01-06,4124.27
2012-01-09,4149.0
2012-01-10,4166.55
2012-01-11,4139.78
2012-01-12,4148.12
2012-01-13,4149.98
2012-01-16,4113.99
2012-01-17,4125.11
2012-01-18,4104.93
2012-01-19,4097.28
2012-01-20,4079.26
2012-01-25,4074.33
2012-01-26,4050.71
2012-01-27,4034.53
2012-01-30,4048.27
2012-01-31,4053.32
2012-02-01,4055.33
